序号,chunk_id,公司报告期,章节,页码,问题,答案,依据原文,依据是否逐字命中(自动),质检有据,质检自然,块原文(供核对),判定(留/删),编造类型,备注
21,600519_2025_p002_s0_c1,贵州茅台 2025年报,封面/目录,2,请问公司2025年度的分红方案具体是怎样的？大概要派发多少钱？,"分红方案已经董事会审议通过了。我们拟向全体股东每股派发现金红利27.993元（含税）。截至2026年3月31日，公司总股本是1,252,270,215股，回购专用证券账户里的股份数是794,176股，扣掉这部分之后是1,251,476,039股，按这个基数算下来，合计拟派发现金红利35,032,568,759.73元（含税）。另外提醒一下，如果在股权登记日之前总股本扣除回购专用账户股份数有变动，我们会维持分红总额不变，相应调整每股分配比例。","2025年年度利润分配拟向全体股东每股派发现金红利27.993元（含税），截至2026年3月31日，公司总股本为1,252,270,215股，回购专用证券账户中的股份数为794,176股，总股本扣除回购专用证券账户中的股份数为1,251,476,039股，以此计算合计拟派发现金红利35,032,568,759.73元（含税）。",否,2,1,"重要提示
一、本公司董事会及董事、高级管理人员保证年度报告内容的真实性、准确性、完整性，不存在
虚假记载、误导性陈述或重大遗漏，并承担个别和连带的法律责任。
二、公司全体董事出席董事会会议。
三、 天健会计师事务所(特殊普通合伙)为本公司出具了标准无保留意见的审计报告。
四、公司负责人陈华、主管会计工作负责人余思明及会计机构负责人（会计主管人员）蔡聪应
声明：保证年度报告中财务报告的真实、准确、完整。
五、 董事会决议通过的本报告期利润分配预案或公积金转增股本预案
公司拟以实施权益分派股权登记日登记的总股本扣除回购专用账户中的股份为基数，实施
2025年年度利润分配。2025年年度利润分配拟向全体股东每股派发现金红利27.993元（含税），
截至2026年3月31日，公司总股本为1,252,270,215股，回购专用证券账户中的股份数为794,176
股，总股本扣除回购专用证券账户中的股份数为1,251,476,039股，以此计算合计拟派发现金红利
35,032,568,759.73元（含税）。在实施权益分派的股权登记日前公司总股本扣除回购专用证券账
户内的股份数如发生变动的，将维持分红总额不变，相应调整每股分配比例。
截至报告期末，母公司存在未弥补亏损的相关情况及其对公司分红等事项的影响
□适用 √不适用
六、 前瞻性陈述的风险声明
√适用 □不适用
本年度报告中所涉及的未来计划",,,
22,600519_2025_p017_s0_c1,贵州茅台 2025年报,第三节 管理层讨论与分析,17,关于经销商这块，本期国内增加的经销商主要是哪一类？另外公司未来线上渠道整体是怎么规划的？,先回答经销商的问题，本期国内增加的经销商全部都是酱香系列酒经销商。线上这块，公司未来要构建批发、线下零售、线上零售、餐饮、私域“五大渠道”并行的渠道布局，通过“线上+线下”融合转型，线上管效率、管触达，线下管转化、管服务，形成以消费者为中心的良性渠道生态体系；同时未来会按照市场化原则逐步丰富i茅台上架产品矩阵。,本期国内增加的均为酱香系列酒经销商。,是,2,1,"2025年度，公司产品通过直销和批发代理渠道进行销售。直销渠道指自营和“i茅台”等数
字营销平台渠道，批发代理渠道指社会经销商、商超、电商等渠道。
(2).销售渠道
√适用 □不适用
单位：万元 币种：人民币
(3).区域情况
√适用 □不适用
单位：万元 币种：人民币
区域划分标准
□适用 √不适用
(4).经销商情况
√适用 □不适用
单位：个
情况说明
√适用 □不适用
本期国内增加的均为酱香系列酒经销商。
(5).线上销售情况
√适用 □不适用
单位：万元 币种：人民币
未来线上经营战略
√适用 □不适用
公司将构建批发、线下零售、线上零售、餐饮、私域“五大渠道”并行的渠道布局，通过“线
上+线下”融合转型，线上管效率、管触达，线下管转化、管服务，形成以消费者为中心的良性渠
道生态体系。未来将按照市场化原则逐步丰富i茅台上架产品矩阵。
7、 公司收入及成本分析
(1).按不同类型披露公司主营业务构成",,,
23,600519_2022H1_p085_s0_c1,贵州茅台 2022H1半年报,第十节 财务报告,85,公司上半年在关联方存款、贷款这块业务规模大概是什么情况？,这块业务由我们控股子公司贵州茅台集团财务有限公司来做，方向是吸收关联方存款和向关联方发放贷款。具体到科目上，“吸收存款及同业存放”反映的是各关联方在我们财务公司的存款余额及应计利息；“发放贷款及垫款”反映的是财务公司向关联方提供贷款的余额。相关的利息收付体现在“利息支出”和“利息收入”这两个科目里。,“吸收存款及同业存放”为各关联方在贵州茅台集团财务有限公司的存款余额及应计利息；,是,2,1,"□适用 √不适用
(4). 关联方资金拆借
□适用 √不适用
(5). 关联方资产转让、债务重组情况
□适用 √不适用
(6). 关键管理人员报酬
□适用 √不适用
(7). 其他关联交易
√适用 □不适用
A .公司控股子公司贵州茅台集团财务有限公司与关联方开展存款、贷款、贴现及保函业务
“吸收存款及同业存放”为各关联方在贵州茅台集团财务有限公司的存款余额及应计利息；
“利息支出”为贵州茅台集团财务有限公司向关联方应付的存款利息；“利息收入”为贵州茅台
集团财务有限公司向关联方提供贷款业务按照规定收取的利息；“发放贷款及垫款”为贵州茅台
集团财务有限公司向关联方提供贷款余额。 (单位：元 币种：人民币)
a .吸收存款及同业存放",,,
24,600519_2023_p018_s0_c1,贵州茅台 2023年报,第三节 管理层讨论与分析,18,想请教一下财务口径的问题：报告期内公司在重大的股权投资、证券投资和衍生品投资这几个科目上是什么情况？,我分开来说。重大的股权投资这一项是不适用的；证券投资情况也是不适用的，证券投资情况的说明同样不适用；衍生品投资情况也是不适用。也就是说这几个科目在报告期内没有需要披露的内容。,证券投资情况,是,2,1,"1. 重大的股权投资
□适用 √不适用
2. 重大的非股权投资
√适用 □不适用
非募集资金项目情况（投资总额超过公司上年度末经审计净资产10%的项目）
根据公司2011年度股东大会决议，公司拟用358,316.00万元投资建设酱香型系列酒制酒技
改工程及配套设施项目。截止报告期末，共投入资金205,354.57万元。
3. 以公允价值计量的金融资产
√适用 □不适用
单位：元 币种：人民币
证券投资情况
□适用 √不适用
证券投资情况的说明
□适用 √不适用
私募基金投资情况
√适用 □不适用
1. 茅台招华（贵州）产业发展基金合伙企业（有限合伙）。已完成私募基金备案。详见公司临2023-
014，临2023-028号公告，www.sse.com.cn.；
2. 茅台金石（贵州）产业发展基金合伙企业（有限合伙）。已完成私募基金备案。详见公司临2023-
014，临2023-028号公告，www.sse.com.cn.。
衍生品投资情况
□适用 √不适用",,,
25,600519_2021H1_p081_s0_c2,贵州茅台 2021H1半年报,第十节 财务报告,81,公司目前有没有以浮动利率计息的负债？利率风险这块是怎么披露的？,结论是，截至 2021 年 6 月 30 日，公司没有以浮动利率计息的负债。我们理解利率风险主要跟以浮动利率计息的负债有关，所以在这个时点上这块风险敞口是没有的。,截止2021年6月30日，公司无以浮动利率计息的负债。,否,2,1,"和负债产生的汇率风险可能对公司的经营业绩产生影响。
项目 期末余额 期初余额
货币资金-欧元 2,226,609.23 2,119,792.97
4、利率风险
利率风险，是指金融工具的公允价值或未来现金流量因市场利率变动而发生波动的风险。公
司面临的市场利率变动的风险主要与以浮动利率计息的负债有关。截止2021年6月30日，公司
无以浮动利率计息的负债。
十、公允价值的披露
1、 以公允价值计量的资产和负债的期末公允价值
√适用 □不适用
单位：元 币种：人民币",,,
26,600519_2022H1_p016_s0_c1,贵州茅台 2022H1半年报,第六节 重要事项,16,这份半年报的审计意见和破产重整、处罚这些事项是怎么处理的？,结论是这几项都不适用。半年报审计情况不适用，上年年度报告非标准审计意见涉及事项的变化及处理情况不适用，破产重整相关事项不适用，上市公司及其董事、监事、高级管理人员、控股股东、实际控制人涉嫌违法违规、受到处罚及整改情况也不适用。,□适用 √不适用,是,2,1,"四、半年报审计情况
□适用 √不适用
五、上年年度报告非标准审计意见涉及事项的变化及处理情况
□适用 √不适用
六、破产重整相关事项
□适用 √不适用
七、重大诉讼、仲裁事项
□本报告期公司有重大诉讼、仲裁事项 √本报告期公司无重大诉讼、仲裁事项
八、上市公司及其董事、监事、高级管理人员、控股股东、实际控制人涉嫌违法违规、受到处
罚及整改情况
□适用 √不适用
九、报告期内公司及其控股股东、实际控制人诚信状况的说明
√适用 □不适用
报告期内公司及其控股股东、实际控制人诚信状况良好。
十、重大关联交易
(一) 与日常经营相关的关联交易
1、 已在临时公告披露且后续实施无进展或变化的事项
□适用 √不适用
2、 已在临时公告披露，但有后续实施的进展或变化的事项
□适用 √不适用
3、 临时公告未披露的事项
√适用 □不适用
（1）经董事会审议通过的与同一关联人发生的关联交易
单位：元 币种：人民币",,,
27,600519_2022_p039_s0_c1,贵州茅台 2022年报,第六节 重要事项,39,报告期内公司及董事、监事、高级管理人员、控股股东、实际控制人有没有涉嫌违法违规、受到处罚及整改的情况？,没有，这一项不适用。也就是说报告期内不存在需要披露的涉嫌违法违规、受到处罚及整改情况。,□适用 √不适用,是,2,1,"十、上市公司及其董事、监事、高级管理人员、控股股东、实际控制人涉嫌违法违规、受到处罚
及整改情况
□适用 √不适用
十一、报告期内公司及其控股股东、实际控制人诚信状况的说明
√适用 □不适用
报告期内公司及控股股东诚信状况良好。
十二、重大关联交易
(一)与日常经营相关的关联交易
1、 已在临时公告披露且后续实施无进展或变化的事项
□适用 √不适用
2、 已在临时公告披露，但有后续实施的进展或变化的事项
□适用 √不适用
3、 临时公告未披露的事项
√适用 □不适用
（1）经董事会审议通过的与同一关联人发生的关联交易
单位:元 币种:人民币",,,
28,600519_2025_p076_s0_c2,贵州茅台 2025年报,第八节 财务报告,76,公司对应收款项的预期信用损失，是按什么口径来分组和计提的？,我们是先把应收款项按信用风险特征划成几个组合，再在组合基础上算预期信用损失。具体组合包括：银行承兑汇票组合、应收账款中的合并范围内关联方应收账、其他应收款中的备用金押金保证金等信用风险较低的部分、其他应收款中的合并范围内关联方部分，以及除上述之外的其他款项。对于划入组合的应收账款，以及因销售商品、提供劳务等日常经营活动形成的应收票据，我们参考历史信用损失经验，结合当前状况和对未来经济状况的预测，编制应收账款账龄与整个存续期预期信用损失率对照表来计算；除此以外的应收票据和划入组合的其他应收款，则参考历史信用损失经验，结合当前状况和对未来经济状况的预测，通过违约风险敞口和未来12个月内或整个存续期预期信用损失率来计算。,依据信用风险特征将应,是,2,1,"依据信用风险特征将应
收款项划分为若干组合，在组合基础上计算预期信用损失，确定组合的依据和计提方式如下：
银行承兑汇票组合 银行承兑汇票
应收账款组合 合并范围内关联方的应收账
其他应收款组合 备用金、押金、保证金等信用风险较低的其他应收款
其他应收款组合 合并范围内关联方的其他应收款
其他组合除上述组合外的其他款项
对于划分为组合的应收账款和因销售商品、提供劳务等日常经营活动形成的应收票据，本公
司参考历史信用损失经验，结合当前状况以及对未来经济状况的预测，编制应收账款账龄与整个
存续期预期信用损失率对照表，计算预期信用损失。除此以外的应收票据和划分为组合的其他应
收款，本公司参考历史信用损失经验，结合当前状况以及对未来经济状况的预测，通过违约风险
敞口和未来12个月内或整个存续期预期信用损失率，计算预期信用损失。
公司将计提或转回的损失准备计入当期损益。对于持有的以公允价值计量且其变动计入其他
综合收益的债务工具，本公司在将减值损失或利得计入当期损益的同时调整其他综合收益。
（6）金融资产转移
公司已将金融资产所有权上几乎所有的风险和报酬转移给转入方的，终止确认该金融资产；
保留了金融资产所有权上几乎所有的风险和报酬的，不终止确认该金融资产。
公司既没有转移也没有保留金融资产所有权上几乎所有的风险和报酬的，分别下列情况处理：
未保留对该金融资产控制的，终止确认该金融资产并将转移",,,
29,600519_2023_p121_s0_c1,贵州茅台 2023年报,第十节 财务报告,121,请问公司本期有没有丧失子公司控制权的情况？另外定制营销公司的清算注销是基于什么程序推进的？,本期没有丧失子公司控制权的交易或事项。至于定制营销公司的清算注销，是股东双方协商同意后推进的：根据公司2023年4月26日在上海证券交易所发布的第三届董事会2023年度第三次会议决议公告，这家控股子公司因股东双方协商同意，经定制营销公司2022年第一次股东会审议通过，决定予以清算注销。后续在2023年12月18日完成了各项清算程序。,根据公司2023年4月26日在上海证券交易所发布的第三届董事会2023年度第三次会议决议公告，本公司控股子公司国酒茅台定制营销（贵州）有限公司（以下简称“定制营销公司”）因股东双方协商同意，经定制营销公司2022年第一次股东会审议通过，决定对定制营销公司予以清算注销。,否,2,1,"4、 处置子公司
本期是否存在丧失子公司控制权的交易或事项
□适用 √不适用
5、 其他原因的合并范围变动
说明其他原因导致的合并范围变动（如，新设子公司、清算子公司等）及其相关情况：
√适用 □不适用
根据公司2023年4月26日在上海证券交易所发布的第三届董事会2023年度第三次会议决议公告，本公司控股子公司国酒茅台定制营销（贵州）
有限公司（以下简称“定制营销公司”）因股东双方协商同意，经定制营销公司2022年第一次股东会审议通过，决定对定制营销公司予以清算注销。
2023年12月18日，定制营销公司已依法履行完成各项清算程序，天职国际会计师事务所（特殊普通合伙）出具了清算审计报告，并取得了贵阳国家
高新技术产业开发区行政审批局核发的准予注销登记通知书，公司不再将其纳入合并报表范围，对本公司整体业务发展和正常经营无重大影响。
6、 其他
□适用 √不适用",,,
30,600519_2025_p017_s0_c1,贵州茅台 2025年报,第三节 管理层讨论与分析,17,想请教一下管理层，公司2025年度的产品销售是通过哪些渠道进行的？直销和批发代理具体指什么？,我们2025年度的产品销售是通过直销和批发代理这两类渠道来做的。具体来说，直销渠道指的是自营和“i茅台”等数字营销平台渠道；批发代理渠道指的是社会经销商、商超、电商等渠道。这两块就是公司目前销售渠道的基本划分。,"2025年度，公司产品通过直销和批发代理渠道进行销售。直销渠道指自营和“i茅台”等数
字营销平台渠道，批发代理渠道指社会经销商、商超、电商等渠道。",是,2,1,"2025年度，公司产品通过直销和批发代理渠道进行销售。直销渠道指自营和“i茅台”等数
字营销平台渠道，批发代理渠道指社会经销商、商超、电商等渠道。
(2).销售渠道
√适用 □不适用
单位：万元 币种：人民币
(3).区域情况
√适用 □不适用
单位：万元 币种：人民币
区域划分标准
□适用 √不适用
(4).经销商情况
√适用 □不适用
单位：个
情况说明
√适用 □不适用
本期国内增加的均为酱香系列酒经销商。
(5).线上销售情况
√适用 □不适用
单位：万元 币种：人民币
未来线上经营战略
√适用 □不适用
公司将构建批发、线下零售、线上零售、餐饮、私域“五大渠道”并行的渠道布局，通过“线
上+线下”融合转型，线上管效率、管触达，线下管转化、管服务，形成以消费者为中心的良性渠
道生态体系。未来将按照市场化原则逐步丰富i茅台上架产品矩阵。
7、 公司收入及成本分析
(1).按不同类型披露公司主营业务构成",,,
31,600519_2022_p079_s0_c1,贵州茅台 2022年报,第十节 财务报告,79,政府补助在什么条件下才能确认？跟资产相关和跟收益相关的处理有什么不同？,政府补助要同时满足两个条件才能确认：一是公司能够满足政府补助所附条件，二是公司能够收到政府补助。处理上分两类：与资产相关的，应当冲减相关资产的账面价值或确认为递延收益；确认为递延收益的，要在相关资产使用寿命内按照合理、系统的方法分期计入损益，按名义金额计量的直接计入当期损益，如果相关资产在使用寿命结束前被出售、转让、报废或发生毁损，尚未分配的递延收益余额要转入资产处置当期的损益。与收益相关的，分两种情况：用于补偿以后期间的相关成本费用或损失的，确认为递延收益，并在确认相关成本费用或损失的期间计入当期损益或冲减相关成本；用于补偿已发生的相关成本费用或损失的，直接计入当期损益或冲减相关成本。另外，与企业日常活动相关的政府补助，按照经济业务实质，计入其他收益或冲减相关成本费用。,政府补助同时满足下列条件的，才能予以确认：,否,2,1,"收入，是指企业在日常活动中形成的、会导致所有者权益增加的、与所有者投入资本无关的
经济利益的总流入。
公司在履行了合同中的履约义务，即在客户取得相关商品控制权时确认收入。取得相关商品
控制权是指能够主导该商品的使用并从中获得几乎全部的经济利益。本公司将产品按照合同约定
交付给客户后，按扣除应付客户对价后的净额确认收入。本公司在与客户签订合同并收到订单但
未向客户交付产品之前，将已从客户收取的合同对价金额确认为合同负债。
(2). 同类业务采用不同经营模式导致收入确认会计政策存在差异的情况
□适用 √不适用
20. 政府补助
√适用 □不适用
政府补助是指企业从政府无偿取得货币性资产或非货币性资产，但不包括政府作为企业所有
者投入的资本。政府补助分为与资产相关的政府补助和与收益相关的政府补助。政府补助同时满
足下列条件的，才能予以确认：
A.公司能够满足政府补助所附条件；
B.公司能够收到政府补助。
(1)与资产相关的政府补助判断依据及会计处理方法
资产相关的政府补助，应当冲减相关资产的账面价值或确认为递延收益。与资产相关的政府
补助确认为递延收益的，应当在相关资产使用寿命内按照合理、系统的方法分期计入损益。按照
名义金额计量的政府补助，直接计入当期损益。相关资产在使用寿命结束前被出售、转让、报废
或发生毁损的，应当将尚未分配的相关递延收益余额转入资产处置当期的损益。
(2)与收益相",,,
32,600519_2025H1_p081_s0_c1,贵州茅台 2025H1半年报,第八节 财务报告,81,请问公司本期在合并范围上有没有发生反向购买、处置子公司，或者其他原因导致的合并范围变动？,没有。我这边按财报口径逐项说明一下：反向购买是“不适用”，处置子公司这一块，本期不存在丧失子公司控制权的交易或事项，也不存在通过多次交易分步处置对子公司投资且在本期丧失控制权的情形；其他原因的合并范围变动同样也是“不适用”。也就是说，这几类合并范围变动本期都没有发生。,5、 其他原因的合并范围变动,是,2,1,"3、 反向购买
□适用 √不适用
4、 处置子公司
本期是否存在丧失子公司控制权的交易或事项
□适用 √不适用
是否存在通过多次交易分步处置对子公司投资且在本期丧失控制权的情形
□适用 √不适用
5、 其他原因的合并范围变动
说明其他原因导致的合并范围变动（如，新设子公司、清算子公司等）及其相关情况：
□适用 √不适用
十、在其他主体中的权益
1、 在子公司中的权益
(1).企业集团的构成
√适用 □不适用
单位:元 币种:人民币",,,
33,600519_2021H1_p041_s0_c2,贵州茅台 2021H1半年报,第十节 财务报告,41,公司现金等价物的范围具体包括哪些？,我们现金等价物包括库存现金、银行存款、其他货币资金、存放中央银行可随时支取的备付金、存放同业款项、拆放同业款项、同业间买入返售证券，以及企业持有的期限短、流动性强、易于转换为已知金额现金、价值变动风险很小的投资，这里的期限短一般指从购买日起三个月内到期。,现金等价物包括库存现金、银行存款、其他货币资金、存放中央银行可随时支取的备付金、 存,是,2,1,"财务报表时，对上年财务报表的相关项目进行
调整，视同合并后形成的报告主体自最终控制方开始控制时点起一直存在。对于非同一控制下企
业合并取得子公司，经营成果和现金流量自本公司取得控制权之日起纳入合并财务报表。
7. 现金及现金等价物的确定标准
现金等价物包括库存现金、银行存款、其他货币资金、存放中央银行可随时支取的备付金、 存
放同业款项、拆放同业款项、同业间买入返售证券、以及企业持有的期限短（一般指从购买日起
三个月内到期）、流动性强、易于转换为已知金额现金、价值变动风险很小的投资。
8. 外币业务和外币报表折算
√适用 □不适用
（1） 外币交易
公司发生涉及外币的业务，按交易发生日外汇市场汇率中间价折合人民币记账，期末将货币
性外币账户的余额按期末外汇市场汇率中间价调整折合人民币金额，调整后折合的人民币余额与
原账面余额之差作为汇兑损益，并按规定计入""财务费用""、""在建工程""等科目。对以历史成本计
量的外币非货币性项目,仍采用交易发生日的即期汇率折算，不改变其记账本位币金额。
（2） 外币报表折算
境外经营的资产负债表中的资产和负债项目，采用资产负债表日的即期汇率折算，股东权益
中除未分配利润项目外，其他项目采用发生时的即期汇率折算。境外经营的利润表中的收入与费
用项目，采用交易发生日即期汇率的近似汇率进行折算。上述折算产生的外币报表折算差额，在
股东权益项目下的其他综合收益中",,,
34,600519_2023H1_p076_s0_c1,贵州茅台 2023H1半年报,第十节 财务报告,76,税金及附加、销售费用、管理费用这几个科目，报告里有没有给出具体金额？,这几个科目在财报里都是适用并单独列示的，单位是元，币种是人民币。不过就这段原文来看，只列了科目名称和单位币种，没有给出具体金额数字。,40、 销售费用,是,2,1,"在客户获得合同约定中所属商品的控制权时，公司完成合同履约义务时点确认收入。
(3). 分摊至剩余履约义务的说明
√适用 □不适用
本报告期末已签订合同、但尚未履行或尚未履行完毕的履约义务所对应的收入金额为
7,334,210,269.62元。
38、 利息收入、利息支出、手续费及佣金收入及手续费及佣金支出
单位：元 币种：人民币
39、 税金及附加
√适用 □不适用
单位：元 币种：人民币
40、 销售费用
√适用 □不适用
单位：元 币种：人民币
41、 管理费用
√适用 □不适用
单位：元 币种：人民币",,,
35,600519_2023H1_p045_s0_c1,贵州茅台 2023H1半年报,第十节 财务报告,45,请问公司对金融资产是怎么分类的？分类的依据是什么？,我们是根据管理金融资产的业务模式和金融资产的合同现金流量特征来分类的，初始确认时就分成三类：以摊余成本计量的金融资产、以公允价值计量且其变动计入其他综合收益的金融资产，以及以公允价值计量且其变动计入当期损益的金融资产。后续计量也是看它归到哪一类。,公司的金融资产于初始确认时根据公司管理金融资产的业务模式和金融资产的合同现金流量特征分类为：以摊余成本计量的金融资产、以公允价值计量且其变动计入其他综合收益的金融资产以及以公允价值计量且其变动计入当期损益的金融资产。,否,2,1,"公司于成为金融工具合同的一方时确认一项金融资产或金融负债。以常规方式买卖金融资产，
按交易日会计进行确认和终止确认。常规方式买卖金融资产，是指按照合同条款的约定，在法规
或通行惯例规定的期限内收取或交付金融资产。交易日，是指本公司承诺买入或卖出金融资产的
日期。
满足下列条件的，终止确认金融资产(或金融资产的一部分，或一组类似金融资产的一部分)，
即从其账户和资产负债表内予以转销：A收取金融资产现金流量的权利届满；B转移了收取金融资
产现金流量的权利，或在“过手协议”下承担了及时将收取的现金流量全额支付给第三方的义务；
并且（a）实质上转让了金融资产所有权上几乎所有的风险和报酬，或（b）虽然实质上既没 有转
移也没有保留金融资产所有权上几乎所有的风险和报酬，但放弃了对该金融资产的控制。
（2） 金融资产分类和计量
公司的金融资产于初始确认时根据公司管理金融资产的业务模式和金融资产的合同现金流量
特征分类为：以摊余成本计量的金融资产、以公允价值计量且其变动计入其他综合收益的金融资
产以及以公允价值计量且其变动计入当期损益的金融资产。金融资产的后续计量取决于其分类。
公司对金融资产的分类，依据公司管理金融资产的业务模式和金融资产的现金流量特征进行
分类。
A.以摊余成本计量的金融资产
金融资产同时符合下列条件的，分类为以摊余成本计量的金融资产：公司管理该金融资产的
业务模式是以收取合同",,,
36,600519_2023H1_p006_s1_c2,贵州茅台 2023H1半年报,第三节 管理层讨论与分析,6,上半年茅台酒和系列酒的基酒产量各是多少？另外“i茅台”目前的用户情况怎么样？,产量方面，报告期完成茅台酒基酒产量4.46万吨，系列酒基酒产量2.40万吨。渠道和数字化这块，截至报告期末“i茅台”累计注册用户已突破4200万，公司把它定位为茅台数字营销的典范和主阵地。,报告期完成茅台酒基酒产量4.46万吨，系列酒基酒产量2.40万吨。,是,2,1,"不可复制的微生物菌落群、传承千年的独特酿造工艺、长期贮存的基酒资源组成的
“四个核心势能”。报告期内公司核心竞争力未发生重大变化。
三、 经营情况的讨论与分析
今年以来，公司始终坚持以习近平新时代中国特色社会主义思想为指导，深入学习贯彻党的
二十大精神、习近平总书记视察贵州重要讲话精神，以深入开展主题教育为契机，认真落实省委、
省政府决策部署，聚焦集团公司“双翻番、双巩固、双打造”战略目标和年度既定目标任务，秉
持“质量是生命之魂”，持续走好以茅台美学为价值内涵的“五线”高质量发展道路，统筹抓好
生产经营和改革发展各项工作，经营指标保持了稳中有进、稳中向好的良好态势。报告期公司实
现营业收入695.76亿元，同比增长20.76%；实现归属于上市公司股东的净利润359.80亿元，同
比增长20.76%，为全面实现年度目标打下了坚实基础。报告期内主要做了以下工作：
（一）构建协调发展的现代产业体系。坚守传统工法，加大技术攻关，持续加强生产全过程
管控，公司生产稳定向好，报告期完成茅台酒基酒产量4.46万吨，系列酒基酒产量2.40万吨。
深入实施“五合营销法”，持续优化产品结构，茅台全系产品带和价格带更加清晰，成功开发上
市兔年生肖、“二十四节气”系列新产品，持续开展“茅台1935·喜相逢”等活动。截至报告期
末“i茅台”累计注册用户已突破4200万，成为茅台数字营销的典范和主阵地。茅台",,,
37,600519_2021_p028_s0_c1,贵州茅台 2021年报,第四节 公司治理,28,报告期内公司在子公司管理上有什么做法？内控方面又做了哪些工作？,结论分两块说。子公司管理方面，公司坚持“集中管控、一企一策”、“管放结合、动态授权”、“条块结合、管服并重”、“以法人”这样的原则来推进。内控方面，公司是按《企业内部控制基本规范》及其配套指引的规定和其他内部控制监管要求，结合公司自己的内部控制制度和评价办法，在内部控制日常监督和专项监督的基础上，由董事会对2021年12月31日这个内部控制评价报告基准日的内部控制有效性做了评价，具体内容在同日于上海证券交易所网站披露的《公司2021年度内部控制评价报告》里。另外，报告期内内部控制不存在重大缺陷。,根据《企业内部控制基本规范》及其配套指引的规定和其他内部控制监管要求，结合本公司内部控制制度和评价办法，在内部控制日常监督和专项监督的基础上，董事会对本公司 2021 年 12 月 31 日（内部控制评价报告基准日）的内部控制有效性进行了评价。,否,2,1,"十一、 公司股权激励计划、员工持股计划或其他员工激励措施的情况及其影响
(一) 相关激励事项已在临时公告披露且后续实施无进展或变化的
□适用 √不适用
(二) 临时公告未披露或有后续进展的激励情况
股权激励情况
□适用 √不适用
其他说明
□适用 √不适用
员工持股计划情况
□适用 √不适用
其他激励措施
□适用 √不适用
(三) 董事、高级管理人员报告期内被授予的股权激励情况
□适用 √不适用
(四) 报告期内对高级管理人员的考评机制，以及激励机制的建立、实施情况
√适用 □不适用
2021年度内公司对高级管理人员的考评以及激励机制，根据《贵州省国资委监管企业负责人
薪酬管理办法》《贵州省国资委监管企业负责人经营业绩考核办法》《公司领导班子副职人员考
核评价及薪酬管理办法》有关规定执行，并根据《省国资委关于茅台集团主要负责人2020年度经
营业绩考核和薪酬审核结果的通知》《省国资委关于2020年度茅台集团负责人薪酬审核意见和有
关事项的通知》文件，结合公司年度经营状况和业绩考评结果，综合确定高级管理人员的报酬。
十二、 报告期内的内部控制制度建设及实施情况
√适用 □不适用
根据《企业内部控制基本规范》及其配套指引的规定和其他内部控制监管要求，结合本公司
内部控制制度和评价办法，在内部控制日常监督和专项监督的基础上，董事会对本公司 2021 年
12 月 31 日（内部控制评价报",,,
38,600519_2024H1_p054_s0_c1,贵州茅台 2024H1半年报,第十节 财务报告,54,应收账款按账龄和坏账计提方法这两块的披露口径是什么？,从披露口径看，应收账款是按账龄披露的，这块适用；按坏账计提方法分类披露也是适用的。其中按组合计提坏账准备这一项同样适用。所以应收账款的账龄和组合计提坏账这两条线都有对应披露。,(1). 按账龄披露,是,2,1,"4、 应收票据
(1). 应收票据分类列示
√适用 □不适用
单位：元 币种：人民币
(2). 期末公司已背书或贴现且在资产负债表日尚未到期的应收票据
□适用 √不适用
(3). 按坏账计提方法分类披露
□适用 √不适用
(4). 坏账准备的情况
□适用 √不适用
5、 应收账款
(1). 按账龄披露
√适用 □不适用
单位：元 币种：人民币
(2). 按坏账计提方法分类披露
√适用 □不适用
单位：元 币种：人民币
按组合计提坏账准备：
√适用 □不适用",,,
39,600519_2024H1_p044_s0_c1,贵州茅台 2024H1半年报,第十节 财务报告,44,公司合并报表里，少数股东权益是怎么处理的？,少数股东权益是单独列示的。具体来说，子公司的股东权益中不属于母公司拥有的那部分，作为少数股东权益，在合并财务报表中股东权益项下单独列示。,"子公司的股东权益中不属于母公司所
拥有的部分作为少数股东权益在合并财务报表中股东权益项下单独列示。",是,2,1,"本公司合并财务报表按照《企业会计准则第33号－合并财务报表》及相关规定的要求编制，
合并时合并范围内的所有重大内部交易和往来业务已抵销。子公司的股东权益中不属于母公司所
拥有的部分作为少数股东权益在合并财务报表中股东权益项下单独列示。子公司与本公司采用的
会计政策或会计期间不一致的，在编制合并财务报表时，按照本公司的会计政策或会计期间对子
公司财务报表进行必要的调整。对于同一控制下企业合并取得的子公司，其经营成果和现金流量
自合并当期期初纳入合并财务报表。编制比较合并财务报表时，对上年财务报表的相关项目进行
调整，视同合并后形成的报告主体自最终控制方开始控制时点起一直存在。对于非同一控制下企
业合并取得子公司，经营成果和现金流量自本公司取得控制权之日起纳入合并财务报表。
8. 现金及现金等价物的确定标准
现金等价物包括库存现金、银行存款、其他货币资金、存放中央银行可随时支取的备付
金、存放同业款项、拆放同业款项、同业间买入返售证券、以及企业持有的期限短（一般指从购
买日起三个月内到期）、流动性强、易于转换为已知金额现金、价值变动风险很小的投资。
9. 外币业务和外币报表折算
√适用 □不适用
（1）外币交易
公司发生涉及外币的业务，按交易发生日外汇市场汇率中间价折合人民币记账，期末将货币
性外币账户的余额按期末外汇市场汇率中间价调整折合人民币金额，调整后折合的人民币余额与
原账面余",,,
